	Price	Baths	Land size	Beds	House size	Seller_type	town	district
13314	85000000	4	31.1	5	5570.0	Premium-Member	 Talawatugoda	  Colombo
13315	29500000	3	20.0	4	2500.0	Premium-Member	 Negombo	  Gampaha
13316	26500000	3	10.5	4	3158.0	Premium-Member	 Negombo	  Gampaha
13317	12500000	2	10.3	4	1500.0	Member	 Tissamaharama	  Hambantota
13318	19000000	2	10.0	3	1600.0	Member	 Negombo	  Gampaha
13319	6400000	2	8.0	8	1000.0	Member	 Wellampitiya	  Colombo
13320	24000000	3	6.5	4	2100.0	Premium-Member	 Nugegoda	  Colombo
13321	19000000	1	57.0	3	2762.0	Member	 Jaffna City	  Jaffna
13322	31000000	3	15.0	4	3150.0	Premium-Member	 Negombo	  Gampaha
13323	13200000	1	10.0	3	1255.0	Premium-Member	 Kottawa	  Colombo
13324	46500000	5	28.0	5	4400.0	Premium-Member	 Piliyandala	  Colombo
13325	38500000	4	10.0	5	5400.0	Member	 Nugegoda	  Colombo
13326	13200000	1	10.0	3	1250.0	Premium-Member	 Homagama	  Colombo
13327	26500000	3	10.5	4	3150.0	Premium-Member	 Negombo	  Gampaha
13328	41000000	4	16.0	5	6000.0	Premium-Member	 Kottawa	  Colombo
13329	27000000	3	7.5	5	2700.0	Premium-Member	 Kottawa	  Colombo
13330	17500000	2	7.0	5	2000.0	Premium-Member	 Negombo	  Gampaha
13331	49500000	4	10.0	4	4000.0	Premium-Member	 Talawatugoda	  Colombo
13332	130000000	5	62.0	5	5824.0	Premium-Member	 Battaramulla	  Colombo
13333	19000000	2	10.0	3	1610.0	Premium-Member	 Negombo	  Gampaha
13334	22000000	4	6.0	5	2067.0	Premium-Member	 Athurugiriya	  Colombo
13335	9850000	1	8.5	3	4000.0	Premium-Member	 Piliyandala	  Colombo
13336	17500000	2	13.0	4	1830.0	Premium-Member	 Kottawa	  Colombo
13337	40000000	2	7.0	3	3300.0	Premium-Member	 Talawatugoda	  Colombo
13338	15000000	1	160.0	5	2746.0	Member	 Kalutara City	  Kalutara
13339	33500000	5	16.0	6	3600.0	Premium-Member	 Kottawa	  Colombo
13340	17500000	4	7.5	4	1800.0	Premium-Member	 Kottawa	  Colombo
13341	19000000	2	10.0	3	1600.0	Premium-Member	 Negombo	  Gampaha
13342	7800000	1	5.0	2	950.0	Member	 Kandy City	  Kandy
13343	27000000	4	10.0	7	3800.0	Premium-Member	 Malabe	  Colombo
13344	300000000	5	50.0	5	5000.0	Premium-Member	 Pannipitiya	  Colombo
13345	33000000	4	8.0	4	3000.0	Premium-Member	 Kottawa	  Colombo
13346	19000000	2	10.0	3	1600.0	Premium-Member	 Negombo	  Gampaha
